0,414.3008,455.7961,469.6831,434.294,517.8014,477.5579,524.3623,475.0603,479.345,539.3872
454243,637.4632,592.414,596.4617,603.44,643.4501,600.4379,616.4349,652.4429,602.4204,644.4373
1,56.0395,65.0424,55.016,67.0556,56.0376,68.0529,59.0502,66.0482,65.0557,63.041
46900,73.0639,73.069,75.1091,75.0569,78.0593,134.3191,107.0793,85.0783,81.0931,77.131
2,7.0184,18.9996,19,22.0184,18.0146,21.0138,21.0134,21.0123,13.0118,11.0068
1004,8.0642,9.0226,10.0214,9.9916,9.0616,8.0804,9.0394,9.022,9.0552,7.0544
3,6.9829,10.0088,11.9942,12.019,7.0236,11.977,17.0224,8.0029,10.0058,15.0232
7292,34.0361,17.024,29.0601,26.0701,44.1288,25.0721,30.0315,35.022,23.0293,31.0301
4,313.2183,285.3545,314.2305,308.225,323.2237,293.2667,294.2155,301.1993,327.224,324.7801
273418,370.2589,372.3162,373.2604,372.2972,374.2789,373.3151,370.2584,374.3209,371.305,370.2574
5,0,2.0023,1.9984,2.0138,2.0011,2.9901,4.0306,1.0037,2.0013,2.0089
1472,10.0151,17.0125,16.0184,18.0156,18.0252,18.0394,18.9985,18.015,18.031,19.0166
6,0,1.9851,1.9948,1.0131,1.0007,0.9992,2.0171,1.0188,1.0306,1.0152
220,7.0378,10.006,11.0104,6.0072,8.0249,6.0407,6.0039,14.0243,6.0232,12.0243
7,1.0004,1.0055,0.9977,1.0001,1.0013,0,1.001,0,1.0022,1.0007
184,4.0034,8.0092,6.0081,6.0425,9.0023,4.0729,4.0412,5.002,4.0731,4.0037
8,0,0,0.9723,0.9726,1.0007,1.0049,1.0118,0.9983,1.0118,0.9989
252,7.0445,6.0038,9.0235,14.0415,7.039,13.0076,8.0047,11.9987,7.0055,6.0422
9,1.0004,1.0143,1.0007,0.9892,1.0007,1.027,0,0.9977,1.0061,1.0131
156,7.0034,10.007,3.9919,6.0423,6.0624,9.006,4.0073,8.0174,4.0421,4.0015
10,89.0618,113.087,104.0693,101.0808,106.0662,114.0736,104.0675,100.9402,96.0659,112.077
16450,36.03,33.0279,34.0424,36.0306,33.0082,32.0274,33.0526,62.0297,59.0551,35.0414
11,4.0049,7.0233,4.0025,4.0022,5.0303,5.0177,3.0015,4.0028,6.0033,4.0224
1788,22.9943,15.9964,13.0112,13.0106,12.9786,18.0569,13.0112,14.0077,19.0323,17.0128
12,3.0012,4.0025,5.0149,5.017,5.0159,2.0032,6.0109,4.0164,3.0033,4.9733
1972,15.0193,10.989,14.0349,30.0367,20.0532,21.0216,13.016,19.0341,18.0005,14.0264
13,4.0025,3.0024,4.0031,4.0049,5.0062,4.0046,5.0295,5.0168,5.0026,4.0137
2032,14.0113,16.0105,20.9959,15.0153,17.053,17.0336,14.0159,26.0359,20.0351,18.0542
14,133.0802,149.882,152.1179,158.5079,145.0997,152.1257,156.1207,151.2908,153.0748,146.7398
24852,49.0918,50.0548,50.1052,46.0185,47.0516,53.0322,49.0783,49.0725,50.0358,49.0339
15,114.0657,139.1098,140.0691,130.4111,129.9857,137.1044,140.0953,136.0467,135.1049,141.1017
20826,42.029,43.0249,40.0633,45.0362,43.0119,41.0341,43.0171,46.0496,46.0191,42.046
17,104.0539,129.088,121.0887,130.1016,125.0981,114.0898,130.0935,125.7988,124.8315,127.0941
19440,42.0861,43.0176,44.0304,43.0306,41.0286,42.0294,43.0297,62.0988,40.0696,39.0279
18,94.0638,109.9862,102.0725,108.908,103.0737,109.0777,113.082,102.0577,108.1995,101.0804
16926,35.0293,38.0269,36.0257,33.0415,35.0966,37.0747,36.0251,36.0273,34.0633,31.0265
19,3.0018,3.0054,1.0007,2.0032,3.0202,3.0006,2.0002,0.9989,1.0006,1.0003
1436,15.054,26.0837,8.0159,15.0126,12.0126,23.0354,19.016,12.0081,6.0036,8.0053
20,13.0221,5.021,6.0208,6.0036,5.0201,7.0049,5.0031,7.0051,5.0034,7.0221
10588,72.0367,70.0419,71.0314,76.054,71.0315,70.0486,73.0507,71.0487,72.0678,76.0343
21,1.0007,0.9995,1.0007,2.0011,1.0007,1.001,1.0007,1.0007,2.0008,1.001
1752,8.0174,8.0071,8.0056,6.0042,8.0059,8.005,8.0053,12.0083,6.0045,10.0067
